"path","lines","sha256","review_status","review_method","billing_relevant","collections_or_tables","rpcs_called_or_defined","app_state_disposition","direct_test_evidence"
"openspec/changes/archive/2026-04-25-inventory-icons-revenue-sorting-permissions/proposal.md","31","c7afa6d11b38c15386dadbcf576865eda8057e21832af028e470e1ad5030db3d","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; stations; sessions; bills","","none",""
"openspec/changes/archive/2026-04-25-inventory-icons-revenue-sorting-permissions/specs/deferred-revenue-attribution/spec.md","57","70620953965a73f88f8a566d1f51c87604f2c25323123f3f0b937ad7423c4b78","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; stations; sessions; bills","","none",""
"openspec/changes/archive/2026-04-25-inventory-icons-revenue-sorting-permissions/specs/inventory-category-icons/spec.md","35","5e648253d747ac7a865da011ea63bb5a92b9c5d4a56dad30a9fc33aba82b37d1","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-25-inventory-icons-revenue-sorting-permissions/tasks.md","35","0f25e7df11ea8b7b39872760621cb264e501f82ab00914aa92a339b8e4d1aab3","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; sessions; bills","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/.openspec.yaml","2","da8133d4d9d98bfcad1b1ec41b885f7adbce2326f52b77d0f3cda9f06c1bb106","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/design.md","104","62b52cf781553bd1f2332eece3c6e4a8383f3b866afe0e30b97889e11ad14811","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; sessions; session_pause_logs; bills","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/proposal.md","35","150bb622d0fac39575c442e11c0569d73598cace4da411461ab9212d8c9ee400","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; sessions; bills","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/specs/concurrent-update-handling/spec.md","30","ca5124ba263a4cfa7e59f07215a6e5de75beaf2bb3f8efcb435f4e732bccb777","reviewed","mechanical-full-text-risk-screen","no","sessions","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/specs/inventory-reservation/spec.md","41","ff9198fc17ebb4c9f583673815dc4427e4f141009b2683cff4c137ed83dad88a","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/specs/ltp-group-default/spec.md","16","64bf2aaf6977343fb4c0bd4a9e9f1cf7bf4b782755f6f40358e6187f8bfdf17f","reviewed","mechanical-full-text-risk-screen","no","stations","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/specs/pause-interval-editing/spec.md","46","533752c5de68e24120c4429349726a434ba40c9534d58af8f2e366913c3e44b8","reviewed","semantic-hotspot-plus-mechanical-screen","yes","session_pause_logs","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/specs/pause-visual-indicators/spec.md","38","c5cc231a93a56cb9176c785ea869ffd1f47c1e2f6077c4ba8b7f7b75247ab168","reviewed","mechanical-full-text-risk-screen","no","sessions","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/specs/zero-price-bill-guard/spec.md","34","e47b627e8bd33b7c46a0e6da5b87245c76a20adf5abf0a7de0ef015b48ee26b4","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills","","none",""
"openspec/changes/archive/2026-04-25-session-fixes-and-enhancements/tasks.md","55","7ddfd3259b6a625238736b96284af4468ec46d3d3ce3da19dd2a3eed142fc640","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; session_pause_logs; bills","","none",""
"openspec/changes/archive/2026-04-26-billing-zero-ltp-replace-fixes/.openspec.yaml","2","539f932dfaf537fbbb9da311e232e3dfe61bc848075c782f277a935700402904","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-04-26-billing-zero-ltp-replace-fixes/design.md","62","c3db55dc45fd38bc105aa30ff1f9583fb2836e1f9a11420c86a6961fc4789eea","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; bills; payments","","none",""
"openspec/changes/archive/2026-04-26-billing-zero-ltp-replace-fixes/proposal.md","31","570128977ee07354c2c341898c897a6cdb35720d28af93edd71b0a991c4a0936","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; bills","","none",""
"openspec/changes/archive/2026-04-26-billing-zero-ltp-replace-fixes/specs/discount-driven-zero-bill/spec.md","46","9a0d700b13465574cce552bffeab454ee35abcf7e5b137beb12fd33d0de41c35","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills; payments","","none",""
"openspec/changes/archive/2026-04-26-billing-zero-ltp-replace-fixes/specs/zero-price-bill-guard/spec.md","20","ab9f0f421cf21176589a55ff4ba3a37bbccf6facaa6c87d1aecbd96a5f1e401d","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","none",""
"openspec/changes/archive/2026-04-26-billing-zero-ltp-replace-fixes/tasks.md","33","0b0473b91ca3b823e2675ef9c20081c17352f8ebeba3148ee3f9dfed04d8ce39","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","none",""
"openspec/changes/archive/2026-05-01-hop-to-consumables-tab/.openspec.yaml","2","9de79dad0f1b2f60c3489a5c6ed4c1cfcc53fd1d6625f4dac0bdb90ad66cc01c","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/archive/2026-05-01-hop-to-consumables-tab/design.md","59","e76d4ef4fae6b5ce51c17bd9ef4710012f418d32fb5c7ad9336e76ef80066265","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; bills","","none",""
"openspec/changes/archive/2026-05-01-hop-to-consumables-tab/proposal.md","29","b63d446e9c0e9b50878a5b0ab07e3976db9dcc354fe029c5399ca5d620e64473","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers","","none",""
"openspec/changes/archive/2026-05-01-hop-to-consumables-tab/specs/session-game-hop/spec.md","34","487ec3f4f7a49e55e308ca2f70378f47304af1d838026b87e9c7d11e123f323f","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions","","none",""
"openspec/changes/archive/2026-05-01-hop-to-consumables-tab/tasks.md","23","f5f0d97df96ef291af9c75df23c498451ae8facc62f3502cc1ff2fb161494d9e","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; bills","","none",""
"openspec/changes/financial-checkout-app-state-decoupling/design.md","45","e760d45f0a0e296ec3954b875f5bb2dbf635eec4a5b0194cfc5970dc2f7eaee8","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; combos; bills; payments; expenses; financial_mutations","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/independent-audit.md","40","082197236e83d4cdf399736425c7637211aaec65f34a9815cfbff177b58127fa","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/proposal.md","30","7f1f13ca0fd373beac08b8fb07c92ef83a58c3b8c0b28ae052988d5358f5a459","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/release-a-staging-evidence-2026-08-20.md","571","41dab73c34d336da7f2dc3490310c7abc4a3888c015d4c02cead02557645311f","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; business_profile; sessions; session_pause_logs; customer_tabs; customers; inventory_items; stock_movements; bills; payments; audit_logs; expenses; operational_events; financial_mutations","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/release-a-staging-runbook.md","200","7b3514f4da83845a5586e0b64e62aef8af9262ffa1fea6bf8ed189df64838b48","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; sessions; session_pause_logs; customer_tabs; customers; inventory_items; combos; stock_movements; bills; payments; audit_logs; operational_events","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/release-b-admin-data-authorization-proof.sql","240","4b8ebe960b9d9137c14c7fceeb7db8b9f5cc370337024bd4a66bef49e44f297a","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; customers; inventory_items; audit_logs; expenses; operational_events","commit_admin_data_change","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/release-b-admin-inventory-precondition-proof.sql","112","41edb9d20a2d3b4cf8ec1ba00ed87d940a30f15fce78f6cb04c902c191d3a228","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; inventory_items","commit_admin_data_change","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/release-b-inactive-authorization-proof.sql","125","7e259113286ee30015fb00d3897354aa1fc423597349f1dbb5b1a63ef6293ad0","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; bills","commit_checkout_bill_v2; commit_financial_adjustment_v2","none",""
"openspec/changes/financial-checkout-app-state-decoupling/release-b-role-authorization-proof.sql","146","7db47367541e278e40f31bf0b7679a0ff0a595f02c6529e57d14be7b285a76c4","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; bills","commit_checkout_bill_v2; commit_financial_adjustment_v2","none",""
"openspec/changes/financial-checkout-app-state-decoupling/release-b-staging-evidence-2026-08-20.md","195","1744ebf57750ba054caff08bda655c2e2f0a39caebff4ed18632f6fffde79c2b","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; sessions; bills; payments; financial_mutations","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/specs/financial-actor-attribution/spec.md","24","4e3199e9eea3e0f09ef4309a7a9f0ee76f3fe8c2c23ca0feafa0256453847186","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","none",""
"openspec/changes/financial-checkout-app-state-decoupling/specs/financial-concurrency-safety/spec.md","26","dbe5dd74bb6913e83b5541f5e7186ff669ac55f855d26e82fc2741344983be3c","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; bills","","none",""
"openspec/changes/financial-checkout-app-state-decoupling/specs/idempotent-checkout/spec.md","21","16c9517c5c1b8d988912b9aba21a69e3d9c3bb8b96d951824e1ad763f7b1d9e7","reviewed","semantic-hotspot-plus-mechanical-screen","yes","payments","","none",""
"openspec/changes/financial-checkout-app-state-decoupling/specs/normalized-financial-source-of-truth/spec.md","30","38e68149756017c01f7269268c779b663276d4342fe8601dde68a1e823183e86","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/tasks.md","45","a33c6de8f4f96dd898b672905eb802f24a21f84c67522af8e83eb6e868759e10","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; bills; payments","","documentation-or-test-reference",""
"openspec/changes/financial-checkout-app-state-decoupling/test-plan.md","37","85c1dd77ed96279cfbb9906ab39e6605a944b2bf2531db389065fe74eb434143","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customer_tabs; customers; combos; bills; payments","","documentation-or-test-reference",""
"openspec/changes/payment-mix-pending-fix/.openspec.yaml","2","539f932dfaf537fbbb9da311e232e3dfe61bc848075c782f277a935700402904","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/payment-mix-pending-fix/design.md","67","9771abbf3038b46f6f65a2da84a812ef034ee021b0d8f355f02867e5657c1b0e","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills; payments","","none",""
"openspec/changes/payment-mix-pending-fix/proposal.md","25","94c439adf1c6a23cd322343c089b519b056c85979abc5e8b587dba7020342110","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills; payments","","none",""
"openspec/changes/payment-mix-pending-fix/specs/payment-mix-alignment/spec.md","24","6451d15d896fb870e8da0e5edd21a3669f0272671549caa1eddcdc3c861be9a0","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills; payments","","none",""
"openspec/changes/payment-mix-pending-fix/tasks.md","18","2346514f99d9d8a6331d5d96cc30b7d4c75dd6b56a8efe42b3a0afbd4ef316f1","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills","","none",""
"openspec/changes/remove-full-startup-bootstrap/design.md","86","421658a32290b61de6913975ea3852f155e37af020dc3021d2176e4df3d69c20","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; business_profile; stations; pricing_rules; sessions; session_pause_logs; customer_tabs; inventory_items; combos; stock_movements; bills; payments; audit_logs; expenses","","documentation-or-test-reference",""
"openspec/changes/remove-full-startup-bootstrap/proposal.md","43","6ff40f6ae159c7345fc562230d6677008e7df4638cfa02b6ab09e30224036a84","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; stations; sessions; combos; bills; payments; expenses","","documentation-or-test-reference",""
"openspec/changes/remove-full-startup-bootstrap/specs/supabase-egress-reduction/spec.md","39","3058473b6e9de0f442be18ae6e6f0ab46701c20791b5f55f151cee6f3611b317","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills; payments","","documentation-or-test-reference",""
"openspec/changes/remove-full-startup-bootstrap/tasks.md","63","fa9ae90cdb811e901ec49b4c88d4dcb5a1974f922b7783c69f95928cbbd333f4","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; combos; bills; expenses","","documentation-or-test-reference",""
"openspec/changes/session-game-hop/.openspec.yaml","2","539f932dfaf537fbbb9da311e232e3dfe61bc848075c782f277a935700402904","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/changes/session-game-hop/design.md","79","f5779c81b654868c42fbbe4290dc471c1107ebcf47b15436f156073c18fd4dc9","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; bills","","none",""
"openspec/changes/session-game-hop/proposal.md","31","c38760884b83fad3edfe20907549d33f2cea950ac488f58d7686bf550d20a16c","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; bills","","none",""
"openspec/changes/session-game-hop/specs/session-game-hop/spec.md","68","6bb7b3744572067065b88ee1f4ef8499c57e9ce1505c48708a5c1bd62a44c49a","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; bills","","none",""
"openspec/changes/session-game-hop/tasks.md","42","a2033a62aed22a0792a303d175b9206fbd3622e4b928b42fdc6a766aa981740f","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; bills","","none",""
"openspec/changes/supabase-normalized-rpc-migration/baseline.md","63","d211ac8e4a0ad374688a1c4401874333b0f816f531ab094fc6b011b24f9f5a0b","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; combos; stock_movements; bills; payments; audit_logs; expenses","","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/design.md","471","65c39493b8683fbd15c18648858b0ad88f2dd36a5570828dbe25553e8f576e28","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; business_profile; stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; sale_variants; combos; stock_movements; bills; bill_lines; payments; audit_logs; expenses; operational_events","current_user_has_org_access","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/financial-rpc-staging-evidence.md","27","1e70529c41307054a6c0150db3ef967bfdebc2233d52b1dfdad0b627350d4bb3","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills","","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/performance-evidence.md","63","b3f93c15552bd75af0d75fdeddac221b0552768116638fd0338c1eefaf79467e","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; bills; payments; expenses","","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/proposal.md","113","f7f8259d93daa7b4be6dbc23b08a97cc3334c1f01eb8a75ef2b3f10859f00264","reviewed","semantic-hotspot-plus-mechanical-screen","yes","organizations; stations; customers; combos; payments","","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/specs/multi-tenant-normalized-data/spec.md","70","e7eb4930a4bb766a9fb6e346d08cc1742ce861f60f47e186c5d9b87bf6897dbf","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; sessions; customers; combos; bills; payments","","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/specs/rpc-operational-api/spec.md","77","3debc9f8b2bcafd58a84ddb6c4582a302f2aabb9baf7c4697d9a7162ea01065a","reviewed","semantic-hotspot-plus-mechanical-screen","yes","customers; bills; payments","","none",""
"openspec/changes/supabase-normalized-rpc-migration/specs/supabase-egress-reduction/spec.md","55","02224ccc073f147600243a8647c30a4fa8b8b4f50d71dc9fc9daf856d0d85696","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; sessions; customers; combos; bills; payments; expenses","","documentation-or-test-reference",""
"openspec/changes/supabase-normalized-rpc-migration/staging-validation.md","66","88ea2025c994ea4b05f50952e9f06155cab1e31e6e4f4c2b752697686ee11415","reviewed","semantic-hotspot-plus-mechanical-screen","yes","stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; sale_variants; combos; stock_movements; bills; bill_lines; payments; audit_logs; expenses","","none",""
"openspec/changes/supabase-normalized-rpc-migration/tasks.md","259","1ae97ed83f9fe43eb8144492eb1af1e121eafebdc274c28003ac52cf77d805d9","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; sessions; customers; combos; bills; payments; operational_events","","documentation-or-test-reference",""
"openspec/config.yaml","20","390c76e5637fc3e7564a8f9ca3ab34e0d6855a6cf81d91113879c74075396ed2","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/specs/concurrent-update-handling/spec.md","30","ca5124ba263a4cfa7e59f07215a6e5de75beaf2bb3f8efcb435f4e732bccb777","reviewed","mechanical-full-text-risk-screen","no","sessions","","none",""
"openspec/specs/deferred-revenue-attribution/spec.md","57","70620953965a73f88f8a566d1f51c87604f2c25323123f3f0b937ad7423c4b78","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; stations; sessions; bills","","none",""
"openspec/specs/discount-driven-zero-bill/spec.md","46","9a0d700b13465574cce552bffeab454ee35abcf7e5b137beb12fd33d0de41c35","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills; payments","","none",""
"openspec/specs/expense-backfill-prompt/spec.md","32","305d16d22cb44b5e390e1355bea69808d3238ba57da7eb3fc7b8997cdfc8577f","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/specs/expense-month-list-view/spec.md","59","ce2ad73665f803bda0385c662dcf898c5e997a21a395a91c63bce7802d5a2196","reviewed","mechanical-full-text-risk-screen","no","users/profiles","","none",""
"openspec/specs/expense-template-overrides/spec.md","51","93dcf9d92777d3b4c49c991c27ec1370df4477c088312c42f7453eb6ad76c4b2","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/specs/inventory-category-icons/spec.md","35","5e648253d747ac7a865da011ea63bb5a92b9c5d4a56dad30a9fc33aba82b37d1","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"openspec/specs/inventory-reservation/spec.md","41","ff9198fc17ebb4c9f583673815dc4427e4f141009b2683cff4c137ed83dad88a","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions","","none",""
"openspec/specs/ltp-group-default/spec.md","16","64bf2aaf6977343fb4c0bd4a9e9f1cf7bf4b782755f6f40358e6187f8bfdf17f","reviewed","mechanical-full-text-risk-screen","no","stations","","none",""
"openspec/specs/pause-interval-editing/spec.md","46","533752c5de68e24120c4429349726a434ba40c9534d58af8f2e366913c3e44b8","reviewed","semantic-hotspot-plus-mechanical-screen","yes","session_pause_logs","","none",""
"openspec/specs/pause-visual-indicators/spec.md","38","c5cc231a93a56cb9176c785ea869ffd1f47c1e2f6077c4ba8b7f7b75247ab168","reviewed","mechanical-full-text-risk-screen","no","sessions","","none",""
"openspec/specs/session-game-hop/spec.md","99","aa6d119c47503b7219d8692c8dfff5979713283105d8ef6a7f7d6320af509d9e","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions; customers; bills","","none",""
"openspec/specs/zero-price-bill-guard/spec.md","38","fe5dd2963b0b4cdd05b4ed35771bcacc045c6a7b7879df15c14b1f380d5fec75","reviewed","semantic-hotspot-plus-mechanical-screen","yes","bills","","none",""
"package-lock.json","5065","09d6ab4f72de72e95b67f2cd0386cac0f078412db7be41d2eb6dc5680464a429","reviewed","mechanical-lockfile-json-integrity-screen","no","","","none",""
"package.json","56","159875c3c741f1e65593ed59144081cf04ddfec210c839713e37df628820688a","reviewed","semantic-hotspot-plus-mechanical-screen","yes","sessions","","none",""
"plan.md","355","59aae10fb87362f96dabe30e95e7299143e068e1a83dace23a6cd92b2a8f4272","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; stations; sessions; customer_tabs; customers; inventory_items; bills; audit_logs; expenses","","none",""
"playwright.financial-v2.staging.config.ts","36","6d1d0d9fe223fa24772db79a360a127670e73609219d6e920852f6f6e1d422d7","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"playwright.staging.config.ts","35","3679eee29d1f5949498ebff73df6c8260308aaeb58ea016ce3169dc5f46b2da0","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"public/_headers","15","9f87507604fc84ea91cb8bc647245f98492b53695a2c2d82485e502598d2b427","reviewed","mechanical-full-text-risk-screen","no","users/profiles","","none",""
"README.md","72","33770f317e69000d5e4a615860ea3e2c060c65edbd5dcdcc82156282ffcdebb9","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; stations; sessions","","none",""
"scripts/bootstrap-production.mjs","113","c0409d25351284f2d28e4f854ca25abea8a02712bb67ff335202acc4de24dfdd","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; business_profile; stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; stock_movements; bills; payments; audit_logs; expenses","","legacy-maintenance-script",""
"scripts/build-reject-rpc-transactional-proof.mjs","284","170ab6c317d6f83f3c91ca015a6530972cb3c4daef567b41a82f608edfecaaaf","reviewed","semantic-hotspot-plus-mechanical-screen","no","organizations; stations; sessions; customer_tabs; audit_logs; operational_events","","migration-diagnostic-or-reconstruction",""
"scripts/consumables-tab-ui-regression.mjs","222","3989435a85251ce6f5460460c85b0ffa40442c6464e4e696e00a1d33f2b071f5","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; business_profile; stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; stock_movements; bills; payments; audit_logs; expenses","","none",""
"scripts/fix-pricing-bands.mjs","68","d297c0dd6f6ce88537af3599d5dd511ff06c163da9e7a96ea48c1b880c3ae70a","reviewed","semantic-hotspot-plus-mechanical-screen","no","pricing_rules","","legacy-maintenance-script",""
"scripts/generate-checkout-review-manifest.mjs","253","14e3f23a171cfad23f85139c9567fd419c24db68a1720b8d26a15a685e506b2b","reviewed","semantic-hotspot-plus-mechanical-screen","yes","users/profiles; organizations; business_profile; stations; pricing_rules; sessions; session_pause_logs; customer_tabs; customers; inventory_items; sale_variants; combos; stock_movements; bills; bill_lines; payments; audit_logs; expenses; operational_events; financial_mutations","","review-tool-classifier",""
"scripts/inspect-staging-sessions.mjs","96","e40ccd46a3b36e15919bbdd794944f47df29d54727ce91dea0a024e4090f0f95","reviewed","semantic-hotspot-plus-mechanical-screen","yes","organizations; sessions; bills; bill_lines; audit_logs; operational_events","current_user_org_role","migration-diagnostic-or-reconstruction","src/qa/playwrightStagingHarnessContract.test.ts"
"scripts/playwright-compact-reporter.mjs","40","556c9fdd9f861eb5f033e1edbed2ee6773b9392b1275fa0526bbe84e4ad8994c","reviewed","mechanical-full-text-risk-screen","no","","","none",""
"scripts/playwright-staging-env.mjs","84","868837e4294bf5aad22562bf17e7dba92bc1deba62737835f04590bc7bfd3a9f","reviewed","semantic-hotspot-plus-mechanical-screen","yes","","","none",""
